feature_name,source_type,feature_family,selected_final_input,pearson_to_pressure,spearman_to_pressure,within_bike_mean_abs_spearman,within_bike_mean_signed_spearman,abs_pearson_to_pressure,abs_spearman_to_pressure,abs_spearman_rank
acc_std_min,acceleration_signal,std,False,0.3429046622591757,0.27572429197232196,0.363202786457066,0.363202786457066,0.3429046622591757,0.27572429197232196,74
gyro_band_0p5_3_power_max,gyro_signal,band_0p5_3_power,False,-0.31170928783159313,-0.27146408911396414,0.1853847555874608,-0.11728423312676091,0.31170928783159313,0.27146408911396414,75
gyro_band_3_8_power_min,gyro_signal,band_3_8_power,False,0.24822410007417572,0.2710677911736518,0.17592634969014134,-0.01891681179463887,0.24822410007417572,0.2710677911736518,76
acc_spectral_centroid_absdiff,acceleration_signal,spectral_centroid,False,0.27448758844754784,0.2639344282480293,0.22227253858700655,0.22227253858700655,0.27448758844754784,0.2639344282480293,77
gyro_spectral_centroid_max,gyro_signal,spectral_centroid,False,-0.20341925140035433,-0.24382230777717726,0.2714562492530676,0.25443111863789264,0.20341925140035433,0.24382230777717726,78
acc_mean_min,acceleration_signal,mean,False,0.2685413677607956,0.2436241588070211,0.27051040866333564,0.27051040866333564,0.2685413677607956,0.2436241588070211,79
acc_band_0p5_3_power_max,acceleration_signal,band_0p5_3_power,False,-0.2658473902722362,-0.23837321109788234,0.314019075791005,-0.29510226399636613,0.2658473902722362,0.23837321109788234,80
gyro_max_abs_max,gyro_signal,max_abs,False,0.29338750138140335,0.23748154073217956,0.22983926330486212,0.22983926330486212,0.29338750138140335,0.23748154073217956,81
gyro_band_8_15_power_max,gyro_signal,band_8_15_power,False,0.24765644316912916,0.23520282757538352,0.2279475821253982,0.2014640456129038,0.24765644316912916,0.23520282757538352,82
acc_band_8_15_power_absdiff,acceleration_signal,band_8_15_power,False,0.19537068209483083,0.23381578478429024,0.18160139322853305,-0.1059341460499776,0.19537068209483083,0.23381578478429024,83
gyro_band_0p5_3_power_absdiff,gyro_signal,band_0p5_3_power,False,-0.19178894310492978,-0.22747501773929255,0.18633059617719272,0.03688778299954575,0.19178894310492978,0.22747501773929255,84
gyro_spectral_centroid_min,gyro_signal,spectral_centroid,False,0.2496711069550696,0.22252129348538807,0.18727643676692465,0.06242547892230821,0.2496711069550696,0.22252129348538807,85
gyro_mean_mean,gyro_signal,mean,False,0.23107587197562504,0.22182777208984147,0.2506477562789648,0.2506477562789648,0.23107587197562504,0.22182777208984147,86
gyro_max_abs_mean,gyro_signal,max_abs,False,0.25005113789820643,0.22044072929874825,0.16552210320309,0.16552210320309,0.25005113789820643,0.22044072929874825,87
gyro_spectral_entropy_max,gyro_signal,spectral_entropy,False,-0.1405169365409471,-0.22034165481367013,0.20997661092049127,0.20997661092049127,0.1405169365409471,0.22034165481367013,88
acc_dom_freq_min,acceleration_signal,dom_freq,False,0.08351264142095934,-0.19910389586526653,0.1523274895314055,-0.06494040534922611,0.08351264142095934,0.19910389586526653,89
gyro_ptp_max,gyro_signal,ptp,False,0.2049730309080057,0.14999877040822687,0.23646014743298568,0.23646014743298568,0.2049730309080057,0.14999877040822687,90
gyro_dom_freq_absdiff,gyro_signal,dom_freq,False,-0.006417034662619517,-0.14899022142646803,0.1681634799095613,0.10263372161849588,0.006417034662619517,0.14899022142646803,91
gyro_band_8_15_power_absdiff,gyro_signal,band_8_15_power,False,0.0006719123648616885,-0.1489089510723679,0.23646014743298568,0.23646014743298568,0.0006719123648616885,0.1489089510723679,92
gyro_mean_min,gyro_signal,mean,False,0.13499919089999138,0.14147836469151123,0.17876387145933717,0.17876387145933717,0.13499919089999138,0.14147836469151123,93
gyro_mean_max,gyro_signal,mean,False,0.16528711902379553,0.1272116388402664,0.2837521769195828,0.20240988620263575,0.16528711902379553,0.1272116388402664,95
acc_band_8_15_power_max,acceleration_signal,band_8_15_power,False,0.1504441567356186,0.12374403186253327,0.2610520027660162,-0.0926923777937304,0.1504441567356186,0.12374403186253327,97
gyro_p95_abs_min,gyro_signal,p95_abs,False,-0.0873864540414794,-0.12205976561620577,0.1570095378955025,-0.03594194240981382,0.0873864540414794,0.12205976561620577,98
acc_band_8_15_power_min,acceleration_signal,band_8_15_power,False,0.1571079328140089,0.10997267843667888,0.24875607509950096,0.03877946417900966,0.1571079328140089,0.10997267843667888,99
acc_band_0p5_3_power_absdiff,acceleration_signal,band_0p5_3_power,False,0.09216707281331833,0.10947730601128844,0.19011395853612048,-0.19011395853612048,0.09216707281331833,0.10947730601128844,100
gyro_std_min,gyro_signal,std,False,-0.020699172863280282,-0.08104292879387688,0.17498050910040944,-0.014187608845979147,0.020699172863280282,0.08104292879387688,102
acc_band_3_8_power_absdiff,acceleration_signal,band_3_8_power,False,0.10696773070758159,0.0753956831444258,0.11823007371649284,0.10687998663970953,0.10696773070758159,0.0753956831444258,104
gyro_max_abs_min,gyro_signal,max_abs,False,0.10013871185564083,0.07529660865934772,0.13241768256247197,0.13241768256247197,0.10013871185564083,0.07529660865934772,105
gyro_rms_min,gyro_signal,rms,False,-0.025231190326572218,-0.07470216174887917,0.16930546556201775,-0.01797097120490691,0.025231190326572218,0.07470216174887917,106
gyro_energy_per_s_min,gyro_signal,energy_per_s,False,-0.002566853956832929,-0.07390956586825445,0.17876387145933717,-0.01797097120490691,0.002566853956832929,0.07390956586825445,107
gyro_p95_abs_max,gyro_signal,p95_abs,False,0.0925603138355822,0.05488726473326135,0.3007773075347578,0.09836742133212208,0.0925603138355822,0.05488726473326135,112
gyro_dom_freq_max,gyro_signal,dom_freq,False,0.046878720542724385,-0.03997884438688013,0.21905147124680782,0.21905147124680782,0.046878720542724385,0.03997884438688013,113
gyro_skew_absdiff,gyro_signal,skew,False,0.048038382627572006,-0.03655848499381487,0.21943501681781075,0.21943501681781075,0.048038382627572006,0.03655848499381487,114
gyro_ptp_min,gyro_signal,ptp,False,0.026639205336302704,-0.03457699529225309,0.14660529140845113,0.050129551255792965,0.026639205336302704,0.03457699529225309,115
gyro_p95_abs_absdiff,gyro_signal,p95_abs,False,0.15171130318306045,0.03378439941162838,0.21375997327941906,0.09269237779373037,0.15171130318306045,0.03378439941162838,116
gyro_band_0p5_3_power_min,gyro_signal,band_0p5_3_power,False,-0.020706808798961616,0.02407509987397565,0.214705813869151,-0.1522803349468428,0.020706808798961616,0.02407509987397565,118
gyro_std_absdiff,gyro_signal,std,False,0.09211564116676085,-0.01882415216483693,0.25726864040708847,0.13998440728032752,0.09211564116676085,0.01882415216483693,119
gyro_energy_per_s_max,gyro_signal,energy_per_s,False,0.11310266016133451,0.018526928709602663,0.23456846625352182,0.10025910251158593,0.11310266016133451,0.018526928709602663,120
gyro_rms_max,gyro_signal,rms,False,0.09026759511438712,0.017734332828977947,0.231730944484326,0.10309662428078176,0.09026759511438712,0.017734332828977947,121
gyro_kurtosis_absdiff,gyro_signal,kurtosis,False,0.1569760348964749,0.010700044388433623,0.2430810315611093,0.2430810315611093,0.1569760348964749,0.010700044388433623,124
gyro_mean_absdiff,gyro_signal,mean,False,0.05403155622384396,0.005350022194216811,0.22227253858700657,0.10120494310131788,0.05403155622384396,0.005350022194216811,126
gyro_energy_per_s_absdiff,gyro_signal,energy_per_s,False,0.11975379366041831,-0.005052798738982544,0.3357734093548397,0.20524740797183158,0.11975379366041831,0.005052798738982544,127
gyro_rms_absdiff,gyro_signal,rms,False,0.10081744611812199,-0.004161128373279742,0.347123496431623,0.21092245151022326,0.10081744611812199,0.004161128373279742,128
gyro_std_max,gyro_signal,std,False,0.08162121692544157,0.003962979403123563,0.20430156738209967,0.10215078369104981,0.08162121692544157,0.003962979403123563,129
gyro_max_abs_absdiff,gyro_signal,max_abs,False,0.2043508814876276,0.002972234552342673,0.21659749504861492,0.21659749504861492,0.2043508814876276,0.002972234552342673,130
gyro_ptp_absdiff,gyro_signal,ptp,False,0.13668854876589515,0.0005944469104685345,0.21754333563834682,0.21754333563834682,0.13668854876589515,0.0005944469104685345,131
